Seq,bb86_Maj_pc,bb86_Min_pc,bb86_PA_astro_deg,bb86_v_center_kms,joint_Maj_pc,joint_Min_pc,joint_PA_astro_deg,joint_v_center_kms,joint_status,joint_pa_mode,joint_nch_used,joint_source_status,cg2d_Maj_pc,cg2d_Min_pc,cg2d_PA_astro_deg,cg2d_v_center_kms,cg2d_source_status,Maj_pc,Min_pc,PA_astro_deg,v_center_kms,geometry_source,axes_swapped_for_hist,axis_ratio,geom_mean_size_pc,area_ellipse_pc2,PA_mod_180_deg
39,120.0,260.0,43.0,-436.7,293.638859026449,135.52560639288316,18.0,-436.7,refit_recommended,pa-90,2,joint_contrast_refit,332.5149896581197,168.17583873336187,,-436.7,CumulativeGrowth2D,332.5149896581197,168.17583873336187,18.0,-436.7,CumulativeGrowth2D,False,0.5057691952662777,236.4761875478574,43920.24070286094,18.0
40,260.0,500.0,46.0,-366.6,500.0,259.99998960000045,11.0,-366.6,refit_recommended,pa-90,2,joint_contrast_refit,566.1971830985916,337.83097806422575,,-366.6,CumulativeGrowth2D,566.1971830985916,337.83097806422575,11.0,-366.6,CumulativeGrowth2D,False,0.5966666528000006,437.3544879653194,150230.13456842737,11.0
41,100.0,300.0,47.0,-428.5,417.4860961798912,139.1620320599637,17.0,-428.5,refit_recommended,pa-90,2,joint_contrast_refit,490.04635571312855,201.46350179317503,,-428.5,CumulativeGrowth2D,490.04635571312855,201.46350179317503,17.0,-428.5,CumulativeGrowth2D,False,0.41111111111111104,314.20766200548127,77539.5763281026,17.0
42,0.0,60.0,90.0,-403.7,107.23407152531,107.23407152531,-90.0,-403.7,refit_recommended,pa-90,2,joint_contrast_refit,130.31205198878516,123.79644938934592,,-403.7,CumulativeGrowth2D,130.31205198878516,123.79644938934592,-90.0,-403.7,CumulativeGrowth2D,False,0.9500000000000002,127.0124771384743,12670.176178204543,90.0
43,240.0,340.0,128.0,-387.3,354.66666666666663,250.35288226991003,-2.0,-387.3,refit_recommended,pa-90,2,joint_contrast_refit,430.9949295774647,304.2316434119414,,-387.3,CumulativeGrowth2D,430.9949295774647,304.2316434119414,-2.0,-387.3,CumulativeGrowth2D,False,0.7058821868512503,362.1081271216735,102983.21024488744,178.0
44,40.0,220.0,26.0,-354.3,320.21823263793976,58.221496843261775,41.0,-354.3,refit_recommended,pa-90,2,joint_contrast_refit,395.7626748447777,149.0106434832231,,-354.3,CumulativeGrowth2D,395.7626748447777,149.0106434832231,41.0,-354.3,CumulativeGrowth2D,False,0.3765151515151515,242.8432639487081,46317.168744180366,41.0
45,500.0,800.0,38.0,-354.3,800.0,500.0,33.0,-354.3,refit_recommended,pa-90,2,joint_contrast_refit,988.732394366197,617.9577464788733,,-354.3,CumulativeGrowth2D,988.732394366197,617.9577464788733,33.0,-354.3,CumulativeGrowth2D,False,0.6250000000000002,781.6615906472543,479874.2269823895,33.0
46,560.0,820.0,31.0,-354.3,820.0,559.9998907317287,-34.0,-354.3,refit_recommended,pa-90,2,joint_contrast_refit,1081.3605633802815,738.4899967494613,,-354.3,CumulativeGrowth2D,1081.3605633802815,738.4899967494613,-34.0,-354.3,CumulativeGrowth2D,False,0.6829266960143033,893.6296542392155,627198.5206851278,146.0
47,160.0,380.0,16.0,-313.0,365.3333333333333,153.82456140350877,31.0,-313.0,refit_recommended,pa-90,2,joint_contrast_refit,383.4456338028168,186.17294588584133,,-313.0,CumulativeGrowth2D,383.4456338028168,186.17294588584133,31.0,-313.0,CumulativeGrowth2D,False,0.4855263157894737,267.1838378946862,56067.37830859839,31.0
48,200.0,340.0,0.0,-337.8,340.0,200.0,0.0,-337.8,keep_base_geometry,pa-90,2,joint_contrast_refit,420.2112676056338,247.1830985915493,,-337.8,CumulativeGrowth2D,420.2112676056338,247.1830985915493,0.0,-337.8,CumulativeGrowth2D,False,0.5882352941176471,322.28733017269434,81578.61858700622,0.0
