Seq,label,Maj_pc,Min_pc,q_ba,PA_deg,v_center_kms,RA_deg,Dec_deg
236,CAP30_POSTPV_0418,440.22,352.176,0.7999999999999999,-45.0,-338.5703645063415,10.822680992148046,41.02438891184792
237,CAP30_POSTPV_0419,497.64,348.348,0.7000000000000001,-40.0,-293.2085447387585,10.465124214064453,41.47537567669281
238,CAP30_POSTPV_0426,600.3,480.24,0.8,-90.0,-235.4753195800165,10.740346710641507,41.84030178422383
239,CAP30_POSTPV_0427,609.0,365.4,0.6,35.0,-132.3802746536915,11.215730394544844,42.01842699937484
240,CAP30_POSTPV_0428,609.0,609.0,1.0,-90.0,-437.5416076356135,9.880001571789936,40.894568120947696
241,CAP30_POSTPV_0430,700.3499999999999,700.3499999999999,1.0,-90.0,-511.7700399825675,9.341316425381194,39.95653298505672
242,CAP30_POSTPV_0431,827.9999999999999,827.9999999999999,1.0,-90.0,-573.6270669383625,10.120003577000675,40.610980562545
243,CAP30_POSTPV_0434,600.0,420.0,0.7,45.0,-416.9225986503485,10.579598558405207,40.723582377354994
244,CAP30_POSTPV_0437,600.0,600.0,1.0,-90.0,-482.9034274031965,9.562212752302178,39.88085358506919
245,CAP30_POSTPV_0439,720.0,576.0,0.8,30.0,-95.2660584802145,11.008942599534318,41.6837463769626
246,CAP30_POSTPV_0442,622.05,311.025,0.5,-35.0,-301.4561483328645,10.914887475097276,41.22702079333365
247,CAP30_POSTPV_0443,722.0849999999999,722.0849999999999,1.0,-90.0,-520.0176435766735,9.87767471515115,40.42033654316257
248,CAP30_POSTPV_0445,440.22,352.176,0.7999999999999999,-90.0,-235.4753195800165,11.161920972601449,41.37098891203231
249,CAP30_POSTPV_0446,319.0,223.3,0.7000000000000001,45.0,-251.97052676822847,11.072188723221313,41.37632406855085
250,CAP30_POSTPV_0447,420.0,420.0,1.0,-90.0,-359.1893734916065,10.754423439566276,41.06486741443799
251,CAP30_POSTPV_0448,648.0,583.2,0.9,-85.0,-74.6470494949495,11.240490795761652,41.83496264377433
252,CAP30_POSTPV_0449,609.0,365.4,0.6,40.0,-132.3802746536915,11.342878488168736,41.62108315965577
253,CAP30_POSTPV_0450,600.0,360.0,0.6,-90.0,-210.73250879769853,10.864585851782175,41.735588527463925
