object_uid,tracer,source_catalog,display_label,candidate_id,ra_deg,dec_deg,x_arcmin,y_arcmin,major_arcsec,minor_arcsec,pa_deg,v_center_kms,Maj_pc,Min_pc,PA_astro_deg,v9_final_score,v9_reject_reason,marker_size,validation_png,notes
Potential_new_HI_Candidate_0061,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0061,61,11.307931141774349,41.906988661400575,28.105754594314355,38.29431968403469,95.36019565217391,76.28815652173913,55.0,-58.15184230673751,319.0,255.2,55.0,0.1208652424042103,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0145,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0145,145,11.336851139695463,41.92447118359559,29.409972459829035,39.34327101573572,95.36019565217391,85.82417608695653,45.0,-54.0280405096845,319.0,287.1,45.0,0.1207565710281552,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0315,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0315,315,11.186097325483662,41.86396118991436,22.611361397483083,35.71267139486196,125.55260869565218,125.55260869565218,-90.0,-115.8850674654795,420.0,420.0,-90.0,0.1206072926157676,foreground_confusion_velocity;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;low_v9_final_score
Potential_new_HI_Candidate_0265,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0265,265,11.25738372253984,41.97267019365557,25.826195397901905,42.235211619334194,107.61652173913043,107.61652173913043,-90.0,-74.6470494949495,360.0,360.0,-90.0,0.120565799355113,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0180,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0180,180,11.478060219066816,41.930403342102345,35.77814041721797,39.69920052614086,95.36019565217391,66.75213695652174,45.0,-66.3994459008435,319.0,223.3,45.0,0.120155512727587,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0111,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0111,111,11.174892500680716,41.93498647907273,22.106052485365435,39.97418874436377,89.6804347826087,85.19641304347826,-75.0,-91.14225668316148,300.0,285.0,-75.0,0.1199067496514009,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0254,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0254,254,11.288384389908297,41.91223072451347,27.22424612857983,38.60884347080841,107.61652173913043,102.23569565217392,85.0,-82.89465308905551,360.0,342.0,85.0,0.1194915996685544,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0369,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0369,369,11.25818248700894,41.83293238909766,25.86221763046842,33.85094334585958,180.79575652173912,180.79575652173912,-90.0,-66.3994459008435,604.8,604.8,-90.0,0.1189958393126409,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0031,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0031,31,11.408617754271877,42.14490923178454,32.64646304096169,52.569553907072475,78.91878260869565,63.13502608695652,45.0,-82.89465308905551,264.0,211.2,45.0,0.1187680990728641,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,figures/potential_hi_candidates_v9/new_candidate_0312_v9_pv_diagnostic.png,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0149,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0149,149,11.360437963284548,41.68320789541652,30.47367781691579,24.867473724991527,95.36019565217391,66.75213695652174,-45.0,-107.63746387137348,319.0,223.3,-45.0,0.1187372831899717,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
