Seq,tracer,source_catalog,object_label,ra_deg,dec_deg,x_arcmin,y_arcmin,HRV,Maj,Min,PA,source_candidate_id,new_candidate_id,candidate_id,cap30_postpv_id,postpv_class_final,science_tier_postpv,bb86_relation,bb86_primary_flag,origin,is_bb86,is_new,foreground_review_flag,has_video,video_path,video_name,contrast_joint_refit_png,summary_2dcg_png
38,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0054,11.48187047025522,42.3086303815201,35.94997299084302,62.39282289120638,-120.0088692625325,414.0,414.0,-90.0,1443,325,325,CAP30_POSTPV_0054,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
39,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0055,11.303116744654169,41.54352062062996,27.88863760997195,16.486237237797923,-173.6182926242215,420.0,420.0,-90.0,1494,331,331,CAP30_POSTPV_0055,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
40,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0059,10.160696504931703,40.97327719968867,-23.631590387131894,-17.728368018679816,-466.40822021498445,373.23,298.584,45.0,1672,355,355,CAP30_POSTPV_0059,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
41,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0061,11.447091886370004,41.94811152914709,34.38154789744826,40.761691748825655,-54.0280405096845,345.0,345.0,-90.0,1725,367,367,CAP30_POSTPV_0061,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
42,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0062,11.009467360885193,42.04446195598249,14.645802200594021,46.54271735894966,-194.2373016094865,360.0,324.0,-75.0,1762,373,373,CAP30_POSTPV_0062,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
43,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0063,10.16523244066476,40.55910691884246,-23.427031298434347,-42.57858486945224,-511.7700399825675,414.0,414.0,-90.0,1795,379,379,CAP30_POSTPV_0063,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
44,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0064,10.804401657810963,41.69983146199895,5.397863999378927,25.864887719937002,-206.6087070006455,540.0,486.0,-30.0,1826,385,385,CAP30_POSTPV_0064,postpv_keep_not_DF,science_review_large_diffuse_BB86,,,,,,,False,,,,
45,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0068,10.50351246133604,41.33696910123225,-8.171468427731586,4.093146073935117,-322.0751573181295,500.25,250.125,10.0,2053,409,409,CAP30_POSTPV_0068,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
46,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0070,10.39748693107298,41.42800507041717,-12.952948396953555,9.555304225030454,-297.3323465358115,574.2,516.7800000000001,-30.0,2220,421,421,CAP30_POSTPV_0070,postpv_keep_review_DF_visual,science_review_visual_DF,,,,,,,False,,,,
47,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0072,11.289458813394807,42.16294852921433,27.27269987709178,53.651911752860144,-148.87548184190348,420.0,420.0,-90.0,2308,433,433,CAP30_POSTPV_0072,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
48,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0073,9.978828681585837,40.51726984321777,-31.833363603608106,-45.088809406933734,-540.6366525619385,483.0,483.0,-90.0,2427,439,439,CAP30_POSTPV_0073,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
49,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0074,11.455427780999178,42.327282936016736,34.757475403738994,63.511976161004355,-132.3802746536915,420.0,420.0,-90.0,2478,445,445,CAP30_POSTPV_0074,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
50,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0075,10.89787807611734,41.952349601928425,9.613411147481933,41.01597611570568,-214.8563105947515,483.0,483.0,-90.0,2560,451,451,CAP30_POSTPV_0075,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
51,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0076,9.166607529870292,40.17579732295671,-68.46245810443816,-65.57716062259715,-478.7796256061435,420.0,378.0,45.0,2638,457,457,CAP30_POSTPV_0076,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
