object_uid,tracer,source_catalog,display_label,hi_seq,ra_deg,dec_deg,x_arcmin,y_arcmin,major_arcsec,minor_arcsec,pa_deg,marker_size,has_video,notes,source_candidate_id,new_candidate_id,candidate_id,cap30_postpv_id,postpv_class_final,science_tier_postpv,bb86_relation,bb86_primary_flag,origin,is_bb86,is_new,foreground_review_flag,Maj_pc,PA_astro_deg,age_myr,mass_msun,luminosity,v9_final_score,v9_reject_reason,validation_png,e_bv,Min_pc,fuv_mag,v_center_kms,area_pc2,area_arcsec2,flux,nuv_mag,video_url,video_path,video_name,video_release_tag,v11_source_candidate_id,v11_match_sep_arcsec,v11_diagnostic_png,v11_plot_class,v11_passes_2dcg,v11_joint_2dcg_score,v11_final_Maj_pc,v11_final_Min_pc,v11_final_PA_astro_deg,v11_final_v_center_kms,flux_erg_cm2_s,luminosity_erg_s_at_690kpc,count_rate,detection_likelihood,hardness_hr1,hardness_hr2,hardness_hr3,hardness_hr4,source_class,band
UV_Kang2009_4273,UV,Kang+2009 GALEX SF regions,UV SF 4273,,10.878141,41.810127,8.723319545280775,32.48262000000025,,,,5.408326913195984,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,121.3,24000.0,,,,,0.19,,19.354,,1693.9289250000002,117.0,,19.114,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4274,UV,Kang+2009 GALEX SF regions,UV SF 4274,,11.490063,41.811947,36.31943510788902,32.59182000000038,,,,5.563272418280449,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,77.2,36000.0,,,,,0.34,,19.745,,1792.379495,123.8,,19.58,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4275,UV,Kang+2009 GALEX SF regions,UV SF 4275,,11.104079,41.813915,18.9125449007748,32.70990000000026,,,,5.809475019311125,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,39.8,28000.0,,,,,0.43,,19.619,,1954.533375,135.0,,19.55,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4277,UV,Kang+2009 GALEX SF regions,UV SF 4277,,11.001892,41.817829,14.304172819044988,32.944740000000365,,,,9.604686356149273,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,44.1,23000.0,,,,,0.3,,18.878,,5342.391225,369.0,,18.826,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4278,UV,Kang+2009 GALEX SF regions,UV SF 4278,,10.991706,41.816265,13.844810297153792,32.85090000000025,,,,5.458937625582473,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,18.8,2100.0,,,,,0.23,,19.978,,1725.78058,119.2,,20.029,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4279,UV,Kang+2009 GALEX SF regions,UV SF 4279,,11.079486,41.824806,17.80346356355983,33.36336000000031,,,,13.0,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,164.9,780000.0,,,,,0.28,,17.57,,18340.76207,1266.8,,17.22,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4280,UV,Kang+2009 GALEX SF regions,UV SF 4280,,11.499877,41.817898,36.76202138217144,32.948880000000145,,,,5.357238094391549,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,61.5,10000.0,,,,,0.2,,19.544,,1662.07727,114.8,,19.456,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4281,UV,Kang+2009 GALEX SF regions,UV SF 4281,,11.09995,41.823441,18.72633757180472,33.28146000000032,,,,10.580642702596096,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,16.8,33000.0,,,,,0.42,,18.545,,6483.259595,447.8,,18.559,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4282,UV,Kang+2009 GALEX SF regions,UV SF 4282,,10.760414,41.82037,3.4141332489241445,33.09719999999999,,,,5.563272418280449,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,277.0,440000.0,,,,,0.2,,18.549,,1792.379495,123.8,,17.925,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4283,UV,Kang+2009 GALEX SF regions,UV SF 4283,,11.110549,41.82452,19.20432533633698,33.34620000000015,,,,6.87386354243376,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,81.6,13000.0,,,,,0.19,,19.52,,2736.3467250000003,189.0,,19.377,,,,,,,,,,,,,,,,,,,,,,,,
